title,location,stack,url
"Backend Software Engineer (Python) — Relocation To Poland, Portugal, Or Spain","за кордоном, віддалено","['SQL', 'Django', 'Docker', 'Ansible', 'TeamCity', 'OOP']",https://jobs.dou.ua/companies/revolut/vacancies/265218/?from=list_hot
Senior Software Engineer (Python),віддалено,"['SQL', 'FastAPI', 'Kubernetes', 'AsyncIO']",https://jobs.dou.ua/companies/competera/vacancies/261025/?from=list_hot
Senior Python Developer,"Кропивницький, віддалено","['SQL', 'Django', 'Flask', 'SQLAlchemy', 'Celery', 'MongoDB', 'RabbitMQ', 'SQLAlchemy', 'Docker', 'Jenkins', 'Git', 'CI/CD', 'GitLab', 'Pytest', 'REST', 'GraphQL', 'AsyncIO']",https://jobs.dou.ua/companies/onix/vacancies/266751/
Senior Python Software Engineer (240002UQ),"Київ, Львів, Дніпро, Вінниця, віддалено","['SQL', 'Docker', 'Git', 'GitLab', 'REST']",https://jobs.dou.ua/companies/ciklum/vacancies/261385/
Python Developer,за кордоном,"['SQL', 'FastAPI', 'Tornado', 'SQLAlchemy', 'Celery', 'Redis', 'MySQL', 'RabbitMQ', 'SQLAlchemy', 'Alembic', 'Docker', 'Kubernetes', 'REST', 'AsyncIO']",https://jobs.dou.ua/companies/infingame/vacancies/248357/
Senior Python Developer,"Київ, Дніпро, Запоріжжя, віддалено","['Ansible', 'Git', 'CI/CD', 'SOLID']",https://jobs.dou.ua/companies/the-gravity-agency/vacancies/266638/
Python Developer/Angular/Fullstack,віддалено,"['SQL', 'FastAPI', 'SQLAlchemy', 'SQLAlchemy', 'CI/CD', 'OOP', 'SOLID']",https://jobs.dou.ua/companies/danavero/vacancies/266597/
Senior SDET (Python),"Львів, віддалено","['SQL', 'MySQL', 'Docker', 'Kubernetes', 'Jenkins', 'CircleCI', 'GitHub', 'Git', 'CI/CD', 'OOP', 'SOLID', 'GitLab', 'Pytest', 'Selenium', 'Requests', 'REST', 'Curio']",https://jobs.dou.ua/companies/strongsd/vacancies/266580/
Senior Python Full stack developer,"Харків, віддалено","['SQL', 'FastAPI', 'Docker', 'REST', 'AsyncIO']",https://jobs.dou.ua/companies/softloft/vacancies/263192/
"AQA Engineer (Python, JS)","Львів, Черкаси, віддалено","['GitHub', 'Git', 'CI/CD']",https://jobs.dou.ua/companies/qarea/vacancies/266534/
Python Developer (Senior) — (Engineering Automatization),віддалено,"['Django', 'Flask', 'Docker', 'Kubernetes', 'CI/CD']",https://jobs.dou.ua/companies/piche-ltd/vacancies/266355/
Python Developer (Mid-Level — Senior) — Engineering Automatization),віддалено,"['RabbitMQ', 'REST']",https://jobs.dou.ua/companies/piche-ltd/vacancies/263037/
Senior Python/Django Backend Engineer,за кордоном,"['SQL', 'Django', 'Redis', 'MySQL', 'RabbitMQ', 'Docker', 'Git', 'REST', 'Django REST']",https://jobs.dou.ua/companies/spd-technology/vacancies/266229/
Full-stack developer (React/TS + Java/Go/PHP/Python),віддалено,"['SOLID', 'REST']",https://jobs.dou.ua/companies/redcat-ltd/vacancies/266225/
Senior Software Engineer,"Київ, віддалено","['SQL', 'Redis', 'MySQL', 'Kubernetes', 'CI/CD', 'Requests']",https://jobs.dou.ua/companies/sps-ukraine/vacancies/250697/
Senior Full Stack Engineer (Django/React),"We're a fully remote team thus we do not have an office. Most of our developers are based in Ukraine., віддалено","['SQL', 'Django', 'Celery', 'MySQL', 'MongoDB', 'RabbitMQ', 'GitHub', 'Git', 'OOP', 'REST']",https://jobs.dou.ua/companies/planeks/vacancies/265844/
Senior Python Developer,"Київ, Харків, Варшава (Польща), віддалено","['FastAPI', 'TensorFlow', 'PyTorch', 'MongoDB', 'OOP']",https://jobs.dou.ua/companies/vilmate/vacancies/265785/
Senior Full-Stack Django Developer,віддалено,"['Django', 'Git', 'REST']",https://jobs.dou.ua/companies/hygge-software/vacancies/256495/
Fullstack Engineer (Python/JS/TS) — part time,віддалено,['Curio'],https://jobs.dou.ua/companies/ivy-tech/vacancies/254644/
Senior Python Engineer (shifted hours),"Львів, віддалено","['SQL', 'Django', 'Flask', 'Pyramid', 'Pandas', 'NumPy', 'SciPy', 'PyTorch', 'SOLID', 'REST', 'Trio']",https://jobs.dou.ua/companies/devspiration/vacancies/265609/
Senior Python Developer,віддалено,"['Celery', 'Docker', 'GitHub', 'Git', 'SOLID', 'REST']",https://jobs.dou.ua/companies/go-interactive/vacancies/265490/
Senior AQA Python Engineer (EU),"Барселона (Іспанія), Краків (Польща), віддалено","['CI/CD', 'SOLID', 'Selenium']",https://jobs.dou.ua/companies/chi-software/vacancies/257331/
Senior Python Developer,"за кордоном, віддалено","['FastAPI', 'Git', 'OOP', 'REST']",https://jobs.dou.ua/companies/numerical-technologies-ltd/vacancies/231293/
Python Developer,"Київ, Кишинів (Молдова), віддалено","['SQL', 'RabbitMQ', 'Docker', 'GitHub', 'Git', 'CI/CD', 'SOLID', 'REST', 'AsyncIO']",https://jobs.dou.ua/companies/introduct/vacancies/265353/
Full stuck Phyton/Django/Angular Expert for Yoga Platform (Freelance),віддалено,"['Django', 'SOLID', 'REST']",https://jobs.dou.ua/companies/livekick/vacancies/61413/
Senior Full-Stack Engineer (Python/Angular),"Львів, Івано-Франківськ, Чернівці, за кордоном, віддалено","['SQL', 'Django', 'Flask', 'MySQL', 'Git', 'SOLID']",https://jobs.dou.ua/companies/agiliway/vacancies/265197/
Senior Python Developer,віддалено,"['SQL', 'MongoDB', 'Git']",https://jobs.dou.ua/companies/devico/vacancies/265133/
Senior Python Engineer,"Лімасол (Кіпр), віддалено","['SQL', 'FastAPI', 'MongoDB', 'Docker', 'CI/CD', 'OOP', 'SOLID', 'REST']",https://jobs.dou.ua/companies/stellartech/vacancies/265075/
"Senior Python Developer (Crypto, USA)","Львів, Чернівці, віддалено","['SQL', 'Pandas']",https://jobs.dou.ua/companies/inventorsoft/vacancies/261684/
Senior Python developer,"Київ, Львів, Дніпро, Ларнака (Кіпр), Варшава (Польща), віддалено","['FastAPI', 'SOLID', 'GraphQL']",https://jobs.dou.ua/companies/yalantis/vacancies/240514/
Python Developer,віддалено,"['Pandas', 'TensorFlow', 'Scikit-learn', 'Redis', 'Docker', 'Kubernetes', 'Jenkins', 'Git', 'OOP']",https://jobs.dou.ua/companies/incoalliance/vacancies/254765/
Team Lead (Full Stack),"Київ, за кордоном, віддалено",,https://jobs.dou.ua/companies/5blue-software/vacancies/264890/
Senior Python Developer,за кордоном,"['SQL', 'FastAPI', 'Redis', 'MongoDB', 'Docker', 'Kubernetes', 'SOLID', 'Requests', 'REST']",https://jobs.dou.ua/companies/corva/vacancies/261563/
Senior Data Engineer,віддалено,"['SQL', 'MySQL', 'Git']",https://jobs.dou.ua/companies/luxoft/vacancies/264354/
Senior Full-Stack Python and React Developer,віддалено,"['SQL', 'SOLID']",https://jobs.dou.ua/companies/tt/vacancies/235615/
Python Technical Lead in Intelligence Integration Team,віддалено,"['SQL', 'Django', 'FastAPI', 'SQLAlchemy', 'Celery', 'MySQL', 'MongoDB', 'SQLAlchemy', 'Docker', 'Kubernetes', 'Jenkins', 'Git', 'OOP', 'SOLID', 'Pytest', 'UnitTest', 'Requests']",https://jobs.dou.ua/companies/zone3000/vacancies/264296/
CTO,Рига (Латвія),['FastAPI'],https://jobs.dou.ua/companies/thewhykingz/vacancies/264253/
Senior Full Stack React/ Django Developer,"Київ, віддалено",['Django'],https://jobs.dou.ua/companies/delphi-llc/vacancies/263991/
Senior Full Stack React/ Node.js/ Python Developer,"Київ, віддалено","['SQL', 'MySQL', 'MongoDB', 'Docker']",https://jobs.dou.ua/companies/delphi-llc/vacancies/263983/
Full-Stack (React/Django) Developer,віддалено,"['Django', 'Celery', 'Docker', 'Git', 'Pytest', 'UnitTest', 'REST', 'Django REST']",https://jobs.dou.ua/companies/diatom-enterprises/vacancies/263918/
Senior/Lead Python Developer (AWS platform),віддалено,"['SQL', 'GitHub', 'Git', 'SOLID', 'REST']",https://jobs.dou.ua/companies/ust/vacancies/263770/
Senior Python Software Engineer with Data Science experience,за кордоном,['SOLID'],https://jobs.dou.ua/companies/binariks/vacancies/253219/
Senior Python developer (EU located),"Братислава (Словаччина), віддалено","['FastAPI', 'Pandas', 'Docker', 'Git', 'Selenium', 'REST']",https://jobs.dou.ua/companies/altamira-ai/vacancies/263750/
Python Engineer (+Go) (#1575),"Київ, Львів, Дніпро, Вінниця, Івано-Франківськ, Тернопіль, віддалено","['SQL', 'Django', 'MySQL', 'Selenium']",https://jobs.dou.ua/companies/n-ix/vacancies/263610/
